award_type,player_id,season,player_age,team,games,minutes_per_game,points_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,pct_field_goals,pct_threeP_field_goals,pct_ft_field_goals,win_shares,win_shares_48
DPOY,m/mobleev01,2024-25,23,CLE,71,30.5,18.5,9.300,3.200,0.900,1.600,0.557,0.370,0.725,9.000,0.200
DPOY,g/goberru01,2023-24,31,MIN,76,34.1,14,12.900,1.300,0.700,2.100,0.661,0.000,0.638,11.600,0.216
DPOY,j/jacksja02,2022-23,23,MEM,63,28.4,18.6,6.800,1.000,1.000,3.000,0.506,0.355,0.788,6.600,0.177
DPOY,s/smartma01,2021-22,27,BOS,71,32.3,12.1,3.800,5.900,1.700,0.300,0.418,0.331,0.793,5.600,0.116
DPOY,g/goberru01,2020-21,28,UTA,71,30.8,14.3,13.500,1.300,0.600,2.700,0.675,0.000,0.623,11.300,0.248
DPOY,a/antetgi01,2019-20,25,MIL,63,30.4,29.5,13.600,5.600,1.000,1.000,0.553,0.304,0.633,11.100,0.279
DPOY,g/goberru01,2018-19,26,UTA,81,31.8,15.9,12.900,2.000,0.800,2.300,0.669,,0.636,14.400,0.268
DPOY,g/goberru01,2017-18,25,UTA,56,32.4,13.5,10.700,1.400,0.800,2.300,0.622,,0.682,8.100,0.214
DPOY,g/greendr01,2016-17,26,GSW,76,32.5,10.2,7.900,7.000,2.000,1.400,0.418,0.308,0.709,8.200,0.160
DPOY,l/leonaka01,2015-16,24,SAS,72,33.1,21.2,6.800,2.600,1.800,1.000,0.506,0.443,0.874,13.700,0.277
DPOY,l/leonaka01,2014-15,23,SAS,64,31.8,16.5,7.200,2.500,2.300,0.800,0.479,0.349,0.802,8.600,0.204
DPOY,n/noahjo01,2013-14,28,CHI,80,35.3,12.6,11.300,5.400,1.200,1.500,0.475,0.000,0.737,11.200,0.190
DPOY,g/gasolma01,2012-13,28,MEM,80,35,14.1,7.800,4.000,1.000,1.700,0.494,0.071,0.848,11.500,0.197
DPOY,c/chandty01,2011-12,29,NYK,62,33.2,11.3,9.900,0.900,0.900,1.400,0.679,0.000,0.689,9.500,0.220
DPOY,h/howardw01,2010-11,25,ORL,78,37.6,22.9,14.100,1.400,1.400,2.400,0.593,0.000,0.596,14.400,0.235
DPOY,h/howardw01,2009-10,24,ORL,82,34.7,18.3,13.200,1.800,0.900,2.800,0.612,0.000,0.592,13.200,0.223
DPOY,h/howardw01,2008-09,23,ORL,79,35.7,20.6,13.800,1.400,1.000,2.900,0.572,0.000,0.594,13.800,0.234
DPOY,g/garneke01,2007-08,31,BOS,71,32.8,18.8,9.200,3.400,1.400,1.300,0.539,0.000,0.801,12.900,0.265
DPOY,c/cambyma01,2006-07,32,DEN,70,33.8,11.2,11.700,3.200,1.200,3.300,0.473,0.000,0.729,7.600,0.155
DPOY,w/wallabe01,2005-06,31,DET,82,35.2,7.3,11.300,1.900,1.800,2.200,0.510,0.000,0.416,10.100,0.168
DPOY,w/wallabe01,2004-05,30,DET,74,36.1,9.7,12.200,1.700,1.400,2.400,0.453,0.111,0.428,8.500,0.153
DPOY,a/artesro01,2003-04,24,IND,73,37.2,18.3,5.300,3.700,2.100,0.700,0.421,0.310,0.733,8.000,0.141
DPOY,w/wallabe01,2002-03,28,DET,73,39.4,6.9,15.400,1.600,1.400,3.200,0.481,0.167,0.450,10.600,0.176
DPOY,w/wallabe01,2001-02,27,DET,80,36.5,7.6,13.000,1.400,1.700,3.500,0.531,0.000,0.423,11.600,0.190
DPOY,m/mutomdi01,2000-01,34,TOT,75,34.5,10,13.500,1.000,0.400,2.700,0.484,,0.725,8.100,0.151
DPOY,m/mournal01,1999-00,29,MIA,79,34.8,21.7,9.500,1.600,0.500,3.700,0.551,0.000,0.711,12.900,0.226
DPOY,m/mournal01,1998-99,28,MIA,46,38.1,20.1,11.000,1.600,0.700,3.900,0.511,0.000,0.652,7.900,0.216
DPOY,m/mutomdi01,1997-98,31,ATL,82,35.6,13.4,11.400,1.000,0.400,3.400,0.537,,0.670,10.800,0.177
DPOY,m/mutomdi01,1996-97,30,ATL,80,37.2,13.3,11.600,1.400,0.600,3.300,0.527,,0.705,11.300,0.183
DPOY,p/paytoga01,1995-96,27,SEA,81,39,19.3,4.200,7.500,2.900,0.200,0.484,0.328,0.748,11.500,0.174
DPOY,m/mutomdi01,1994-95,28,DEN,82,37.8,11.5,12.500,1.400,0.500,3.900,0.556,,0.654,8.700,0.135
DPOY,o/olajuha01,1993-94,31,HOU,80,41,27.3,11.900,3.600,1.600,3.700,0.528,0.421,0.716,14.300,0.210
DPOY,o/olajuha01,1992-93,30,HOU,82,39.5,26.1,13.000,3.500,1.800,4.200,0.529,0.000,0.779,15.800,0.234
DPOY,r/robinda01,1991-92,26,SAS,68,37.7,23.2,12.200,2.700,2.300,4.500,0.551,0.125,0.701,13.900,0.260
DPOY,r/rodmade01,1990-91,29,DET,82,33.5,8.2,12.500,1.000,0.800,0.700,0.493,0.200,0.631,8.700,0.151
DPOY,r/rodmade01,1989-90,28,DET,82,29,8.8,9.700,0.900,0.600,0.700,0.581,0.111,0.654,9.300,0.189
DPOY,e/eatonma01,1988-89,32,UTA,82,35.5,6.2,10.300,1.000,0.500,3.800,0.462,,0.660,6.600,0.108
DPOY,j/jordami01,1987-88,24,CHI,82,40.4,35,5.500,5.900,3.200,1.600,0.535,0.132,0.841,21.200,0.308
DPOY,c/coopemi01,1986-87,30,LAL,82,27.5,10.5,3.100,4.500,1.000,0.500,0.438,0.385,0.851,6.100,0.131
DPOY,r/roberal01,1985-86,23,SAS,82,35.1,17,6.300,5.500,3.700,0.500,0.514,0.276,0.795,8.600,0.143
DPOY,e/eatonma01,1984-85,28,UTA,82,34.3,9.7,11.300,1.500,0.400,5.600,0.449,,0.712,5.400,0.093
DPOY,m/moncrsi01,1983-84,26,MIL,79,38.9,20.9,6.700,4.500,1.400,0.300,0.498,0.278,0.848,12.700,0.198
DPOY,m/moncrsi01,1982-83,25,MIL,76,35.7,22.5,5.800,3.900,1.500,0.300,0.524,0.100,0.826,13.200,0.233
