,season,rank,player_id,won_at_age,team_name,player_position,points
0,2019-2020,1,h/hardeja01,30,HOU,SG,2335
1,2019-2020,2,l/lillada01,29,POR,PG,1978
2,2019-2020,3,b/bookede01,23,PHO,SG,1863
3,2019-2020,4,a/antetgi01,25,MIL,PF,1857
4,2019-2020,5,y/youngtr01,21,ATL,PG,1778
5,2019-2020,6,d/doncilu01,20,DAL,PG,1759
6,2019-2020,7,b/bealbr01,26,WAS,SG,1741
7,2019-2020,8,j/jamesle01,35,LAL,PG,1698
8,2019-2020,9,m/mitchdo01,23,UTA,SG,1655
9,2019-2020,10,d/davisan02,26,LAL,PF,1618
10,2019-2020,11,m/mccolcj01,28,POR,SG,1556
11,2019-2020,12,w/westbru01,31,HOU,PG,1553
12,2019-2020,13,t/tatumja01,21,BOS,PF,1547
13,2019-2020,14,l/leonaka01,28,LAC,SF,1543
14,2019-2020,15,l/lavinza01,24,CHI,SF,1530
15,2019-2020,16,d/derozde01,30,SAS,SF,1504
16,2019-2020,17,i/ingrabr01,22,NOP,PF,1477
17,2019-2020,18,j/jokicni01,24,DEN,C,1456
18,2019-2020,19,h/harrito02,27,PHI,PF,1411
19,2019-2020,20,h/hieldbu01,27,SAC,SG,1382
20,2019-2020,21,s/siakapa01,25,TOR,PF,1371
21,2019-2020,22,s/sextoco01,21,CLE,PG,1349
22,2019-2020,23,g/gilgesh01,21,OKC,SG,1331
23,2019-2020,24,w/warretj01,26,IND,SF,1326
24,2019-2020,25,d/dinwisp01,26,BRK,PG,1318
25,2019-2020,26,m/middlkh01,28,MIL,SF,1297
26,2019-2020,27,b/bogdabo02,30,UTA,SF,1275
27,2019-2020,28,r/randlju01,25,NYK,PF,1248
28,2019-2020,29,p/paulch01,34,OKC,PG,1232
29,2019-2020,30,s/schrode01,26,OKC,PG,1229
30,2019-2020,31,f/fournev01,27,ORL,SF,1221
31,2019-2020,32,v/vucevni01,29,ORL,C,1215
32,2019-2020,33,m/moranja01,20,MEM,PG,1193
33,2019-2020,34,w/willilo02,33,LAC,PG,1185
34,2019-2020,35,b/brookdi01,24,MEM,SG,1181
35,2019-2020,36,w/wiggian01,24,2TM,SF,1175
36,2019-2020,37,h/harremo01,26,LAC,C,1173
37,2019-2020,38,e/embiijo01,25,PHI,C,1172
38,2019-2020,39,h/holidjr01,29,NOP,SG,1167
39,2019-2020,40,p/porzikr01,24,DAL,C,1164
40,2019-2020,41,g/gallida01,31,OKC,PF,1160
41,2019-2020,42,b/brownja02,23,BOS,SG,1159
42,2019-2020,43,b/butleji01,30,MIA,SF,1157
43,2019-2020,44,s/sabondo01,23,IND,PF,1147
44,2019-2020,45,a/adebaba01,22,MIA,PF,1146
45,2019-2020,46,g/grahade01,24,CHO,PG,1145
46,2019-2020,47,w/walkeke02,29,BOS,PG,1145
47,2019-2020,48,r/roziete01,25,CHO,PG,1134
48,2019-2020,49,l/lowryky01,33,TOR,PG,1126
49,2019-2020,50,h/hardati02,27,DAL,SG,1121
50,2020-2021,1,c/curryst01,32,GSW,PG,2015
51,2020-2021,2,l/lillada01,30,POR,PG,1928
52,2020-2021,3,j/jokicni01,25,DEN,C,1898
53,2020-2021,4,b/bealbr01,27,WAS,SG,1878
54,2020-2021,5,d/doncilu01,21,DAL,PG,1830
55,2020-2021,6,a/antetgi01,26,MIL,PF,1717
56,2020-2021,7,b/bookede01,24,PHO,SG,1712
57,2020-2021,8,r/randlju01,26,NYK,PF,1712
58,2020-2021,9,t/tatumja01,22,BOS,SF,1692
59,2020-2021,10,w/willizi01,20,NOP,PF,1647
60,2020-2021,11,v/vucevni01,30,2TM,C,1639
61,2020-2021,12,y/youngtr01,22,ATL,PG,1594
62,2020-2021,13,l/lavinza01,25,CHI,SG,1591
63,2020-2021,14,f/foxde01,23,SAC,PG,1461
64,2020-2021,15,s/sextoco01,22,CLE,SG,1460
65,2020-2021,16,e/embiijo01,26,PHI,C,1451
66,2020-2021,17,i/irvinky01,28,BRK,PG,1451
67,2020-2021,18,i/ingrabr01,23,NOP,SF,1450
68,2020-2021,19,w/westbru01,32,WAS,PG,1445
69,2020-2021,20,b/brownja02,24,BOS,SG,1430
70,2020-2021,21,r/roziete01,26,CHO,SG,1407
71,2020-2021,22,m/mitchdo01,24,UTA,PG,1401
72,2020-2021,23,e/edwaran01,19,MIN,SG,1392
73,2020-2021,24,m/middlkh01,29,MIL,SF,1385
74,2020-2021,25,w/wiggian01,25,GSW,PF,1320
75,2020-2021,26,d/derozde01,31,SAS,PF,1316
76,2020-2021,27,l/leonaka01,29,LAC,SF,1292
77,2020-2021,28,p/powelno01,27,2TM,SG,1283
78,2020-2021,29,b/barrerj01,20,NYK,SG,1264
79,2020-2021,30,s/sabondo01,24,IND,PF,1260
80,2020-2021,31,g/georgpa01,30,LAC,SF,1259
81,2020-2021,32,c/clarkjo01,28,UTA,SG,1251
82,2020-2021,33,t/townska01,25,MIN,C,1239
83,2020-2021,34,b/bogdabo02,31,UTA,SF,1225
84,2020-2021,35,h/harrito02,28,PHI,PF,1210
85,2020-2021,36,g/grantje01,26,DET,SF,1205
86,2020-2021,37,m/moranja01,21,MEM,PG,1204
87,2020-2021,38,a/adebaba01,23,MIA,C,1197
88,2020-2021,39,s/siakapa01,26,TOR,PF,1196
89,2020-2021,40,b/brogdma01,28,IND,PG,1186
90,2020-2021,41,h/hieldbu01,28,SAC,SG,1176
91,2020-2021,42,h/hardati02,28,DAL,SG,1163
92,2020-2021,43,p/portemi01,22,DEN,SF,1162
93,2020-2021,44,b/brookdi01,25,MEM,SF,1151
94,2020-2021,45,p/paulch01,35,PHO,PG,1149
95,2020-2021,46,j/jamesle01,36,LAL,PG,1126
96,2020-2021,47,b/butleji01,31,MIA,SF,1116
97,2020-2021,48,c/collijo01,23,ATL,PF,1111
98,2020-2021,49,m/mccolcj01,29,POR,SG,1087
99,2020-2021,50,h/hardeja01,31,2TM,PG,1083
100,2021-2022,1,y/youngtr01,23,ATL,PG,2155
101,2021-2022,2,d/derozde01,32,CHI,PF,2118
102,2021-2022,3,e/embiijo01,27,PHI,C,2079
103,2021-2022,4,t/tatumja01,23,BOS,SF,2046
104,2021-2022,5,j/jokicni01,26,DEN,C,2004
105,2021-2022,6,a/antetgi01,27,MIL,PF,2002
106,2021-2022,7,d/doncilu01,22,DAL,PG,1847
107,2021-2022,8,b/bookede01,25,PHO,SG,1822
108,2021-2022,9,t/townska01,26,MIN,C,1818
109,2021-2022,10,m/mitchdo01,25,UTA,SG,1733
110,2021-2022,11,j/jamesle01,37,LAL,C,1695
111,2021-2022,12,d/duranke01,33,BRK,PF,1643
112,2021-2022,13,l/lavinza01,26,CHI,SG,1635
113,2021-2022,14,c/curryst01,33,GSW,PG,1630
114,2021-2022,15,b/bridgmi02,23,CHO,PF,1613
115,2021-2022,16,m/moranja01,22,MEM,PG,1564
116,2021-2022,17,b/brownja02,25,BOS,SF,1559
117,2021-2022,18,s/siakapa01,27,TOR,PF,1551
118,2021-2022,19,e/edwaran01,20,MIN,SG,1533
119,2021-2022,20,b/ballla01,20,CHO,PG,1508
120,2021-2022,21,g/garlada01,22,CLE,PG,1473
121,2021-2022,22,r/randlju01,27,NYK,PF,1447
122,2021-2022,23,w/westbru01,33,LAL,PG,1441
123,2021-2022,24,m/murrade01,25,SAS,PG,1438
124,2021-2022,25,h/hardeja01,32,2TM,PG,1432
125,2021-2022,26,r/roziete01,27,CHO,SG,1408
126,2021-2022,27,p/poolejo01,22,GSW,SG,1405
127,2021-2022,28,b/barrerj01,21,NYK,SF,1402
128,2021-2022,29,b/banede01,23,MEM,SG,1384
129,2021-2022,30,g/gilgesh01,23,OKC,PG,1371
130,2021-2022,31,m/mccolcj01,30,2TM,PG,1370
131,2021-2022,32,f/foxde01,24,SAC,PG,1367
132,2021-2022,33,h/herroty01,22,MIA,SG,1367
133,2021-2022,34,m/middlkh01,30,MIL,SF,1325
134,2021-2022,35,b/beysa01,22,DET,SF,1321
135,2021-2022,36,v/vanvlfr01,27,TOR,PG,1320
136,2021-2022,37,v/valanjo01,29,NOP,C,1314
137,2021-2022,38,m/maxeyty01,21,PHI,PG,1311
138,2021-2022,39,v/vucevni01,31,CHI,C,1288
139,2021-2022,40,b/brunsja01,25,DAL,SG,1285
140,2021-2022,41,t/trentga02,23,TOR,SG,1283
141,2021-2022,42,j/johnske04,22,SAS,SF,1278
142,2021-2022,43,j/jacksja02,22,MEM,PF,1272
143,2021-2022,44,c/clarkjo01,29,UTA,SG,1266
144,2021-2022,45,b/barneha02,29,SAC,PF,1265
145,2021-2022,46,h/hieldbu01,29,2TM,SG,1265
146,2021-2022,47,j/jacksre01,31,LAC,SG,1263
147,2021-2022,48,h/harrito02,29,PHI,PF,1257
148,2021-2022,49,w/wiggian01,26,GSW,SF,1256
149,2021-2022,50,b/bogdabo02,32,UTA,PF,1248
150,2022-2023,1,t/tatumja01,24,BOS,SF,2225
151,2022-2023,2,e/embiijo01,28,PHI,C,2183
152,2022-2023,3,d/doncilu01,23,DAL,PG,2138
153,2022-2023,4,g/gilgesh01,24,OKC,PG,2135
154,2022-2023,5,a/antetgi01,28,MIL,PF,1959
155,2022-2023,6,e/edwaran01,21,MIN,SG,1946
156,2022-2023,7,r/randlju01,28,NYK,PF,1936
157,2022-2023,8,m/mitchdo01,26,CLE,SG,1922
158,2022-2023,9,y/youngtr01,24,ATL,PG,1914
159,2022-2023,10,l/lavinza01,27,CHI,SG,1913
160,2022-2023,11,l/lillada01,32,POR,PG,1866
161,2022-2023,12,f/foxde01,25,SAC,PG,1826
162,2022-2023,13,d/derozde01,33,CHI,SF,1816
163,2022-2023,14,b/brownja02,26,BOS,SF,1784
164,2022-2023,15,s/siakapa01,28,TOR,PF,1720
165,2022-2023,16,m/markkla01,25,UTA,PF,1691
166,2022-2023,17,j/jokicni01,27,DEN,C,1690
167,2022-2023,18,g/greenja05,20,HOU,SG,1683
168,2022-2023,19,p/poolejo01,23,GSW,PG,1675
169,2022-2023,20,b/bridgmi01,26,2TM,SG,1671
170,2022-2023,21,c/curryst01,34,GSW,PG,1648
171,2022-2023,22,b/brunsja01,26,NYK,PG,1633
172,2022-2023,23,i/irvinky01,30,2TM,SG,1623
173,2022-2023,24,m/moranja01,23,MEM,PG,1596
174,2022-2023,25,j/jamesle01,38,LAL,PF,1590
175,2022-2023,26,m/mccolcj01,31,NOP,PG,1568
176,2022-2023,27,a/adebaba01,25,MIA,C,1529
177,2022-2023,28,m/murrade01,26,ATL,SG,1515
178,2022-2023,29,s/sabondo01,26,SAC,C,1510
179,2022-2023,30,t/thompkl01,32,GSW,SF,1509
180,2022-2023,31,p/porzikr01,27,WAS,C,1505
181,2022-2023,32,g/garlada01,23,CLE,PG,1490
182,2022-2023,33,w/wagnefr01,21,ORL,SF,1485
183,2022-2023,34,b/bookede01,26,PHO,SG,1471
184,2022-2023,35,b/butleji01,33,MIA,PF,1466
185,2022-2023,36,d/davisan02,29,LAL,C,1451
186,2022-2023,37,v/vucevni01,32,CHI,C,1447
187,2022-2023,38,b/banchpa01,20,ORL,PF,1437
188,2022-2023,39,b/barrerj01,22,NYK,SG,1431
189,2022-2023,40,j/johnske04,23,SAS,SF,1385
190,2022-2023,41,d/dinwisp01,29,2TM,SG,1369
191,2022-2023,42,d/duranke01,34,2TM,PF,1366
192,2022-2023,43,k/kuzmaky01,27,WAS,PF,1357
193,2022-2023,44,h/herroty01,23,MIA,SG,1347
194,2022-2023,45,h/hieldbu01,30,IND,SF,1344
195,2022-2023,46,v/vanvlfr01,28,TOR,PG,1335
196,2022-2023,47,g/georgpa01,32,LAC,SF,1332
197,2022-2023,48,r/roziete01,28,CHO,SG,1329
198,2022-2023,49,s/simonan01,23,POR,SG,1306
199,2022-2023,50,m/mathube01,20,IND,SG,1302
200,2023-2024,1,d/doncilu01,24,DAL,PG,2370
201,2023-2024,2,g/gilgesh01,25,OKC,PG,2254
202,2023-2024,3,a/antetgi01,29,MIL,PF,2222
203,2023-2024,4,b/brunsja01,27,NYK,PG,2212
204,2023-2024,5,j/jokicni01,28,DEN,C,2085
205,2023-2024,6,e/edwaran01,22,MIN,SG,2049
206,2023-2024,7,d/duranke01,35,PHO,PF,2032
207,2023-2024,8,t/tatumja01,25,BOS,PF,1987
208,2023-2024,9,f/foxde01,26,SAC,PG,1966
209,2023-2024,10,c/curryst01,35,GSW,PG,1956
210,2023-2024,11,d/derozde01,34,CHI,SF,1897
211,2023-2024,12,d/davisan02,30,LAL,C,1876
212,2023-2024,13,b/bookede01,27,PHO,PG,1841
213,2023-2024,14,j/jamesle01,39,LAL,PF,1822
214,2023-2024,15,m/maxeyty01,23,PHI,PG,1816
215,2023-2024,16,b/banchpa01,21,ORL,PF,1804
216,2023-2024,17,l/lillada01,33,MIL,PG,1775
217,2023-2024,18,m/murrade01,27,ATL,SG,1753
218,2023-2024,19,s/siakapa01,29,2TM,PF,1737
219,2023-2024,20,g/georgpa01,33,LAC,PF,1671
220,2023-2024,21,l/leonaka01,32,LAC,SF,1613
221,2023-2024,22,b/brownja02,27,BOS,SF,1610
222,2023-2024,23,g/greenja05,21,HOU,SG,1610
223,2023-2024,24,b/bridgmi01,27,BRK,SF,1606
224,2023-2024,25,w/willizi01,23,NOP,PF,1601
225,2023-2024,26,s/sabondo01,27,SAC,C,1593
226,2023-2024,27,k/kuzmaky01,28,WAS,PF,1553
227,2023-2024,28,w/wembavi01,20,SAS,C,1522
228,2023-2024,29,w/whiteco01,23,CHI,PG,1509
229,2023-2024,30,i/irvinky01,31,DAL,SG,1487
230,2023-2024,31,j/jacksja02,24,MEM,C,1486
231,2023-2024,32,t/thomaca02,22,BRK,SG,1482
232,2023-2024,33,m/mitchdo01,27,CLE,SG,1463
233,2023-2024,34,s/sextoco01,25,UTA,SG,1458
234,2023-2024,35,b/bridgmi02,25,CHO,SF,1449
235,2023-2024,36,w/wagnefr01,22,ORL,SF,1421
236,2023-2024,37,c/cunnica01,22,DET,PG,1405
237,2023-2024,38,h/halibty01,23,IND,PG,1389
238,2023-2024,39,y/youngtr01,25,ATL,PG,1389
239,2023-2024,40,t/thompkl01,33,GSW,SF,1375
240,2023-2024,41,v/vucevni01,33,CHI,C,1370
241,2023-2024,42,r/russeda01,27,LAL,PG,1369
242,2023-2024,43,a/adebaba01,26,MIA,C,1367
243,2023-2024,44,h/holmgch01,21,OKC,C,1357
244,2023-2024,45,p/poolejo01,24,WAS,SG,1356
245,2023-2024,46,p/portemi01,25,DEN,SF,1356
246,2023-2024,47,w/willija06,22,OKC,PF,1355
247,2023-2024,48,e/embiijo01,29,PHI,C,1353
248,2023-2024,49,t/townska01,28,MIN,PF,1349
249,2023-2024,50,b/bogdabo01,31,ATL,SG,1333
